League_id,League_name,League_level,Country_id
53,La Liga,1,45
19,Bundesliga,1,21
16,Ligue 1,1,18
31,Serie A,1,27
13,Premier League,1,14
350,Pro League,1,183
39,Major League Soccer,1,95
68,Süper Lig,1,48
317,Hrvatska nogometna liga,1,10
353,Liga Profesional de Fútbol,1,52
308,Primeira Liga,1,38
10,Eredivisie,1,34
50,Premiership,1,42
319,První liga,1,12
14,Championship,2,14
330,Liga I,1,39
17,Ligue 2,2,18
63,Super League,1,22
332,Premier League,1,49
41,Eliteserien,1,36
7,Série A,1,54
336,Categoría Primera A,1,56
54,La Liga 2,2,45
2012,Super League,1,155
4,Pro League,1,7
32,Serie B,2,27
335,Primera Division,1,55
20,2. Bundesliga,2,21
189,Super League,1,47
83,K League 1,1,167
351,A-League Men,1,195
56,Allsvenskan,1,46
2013,Pro League,1,190
337,División Profesional,1,58
1,Superliga,1,13
64,Nemzeti Bajnokság I,1,23
80,Bundesliga,1,4
338,Primera División,1,60
66,Ekstraklasa,1,37
2020,Liga 1,1,59
60,League One,3,14
2018,Serie A,1,57
61,League Two,4,14
2019,Primera Division,1,61
318,1. Division,1,11
322,Veikkausliiga,1,17
2017,División de Fútbol Profesional,1,53
313,Premyer Liqa,1,5
2076,3. Liga,3,21
2149,Super League,1,159
65,Premier Division,1,25
